,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,fax,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,logo_url,ticker,profit_loss,address2,headSymbol,underlyingExchangeSymbol,underlyingSymbol,uuid,wsb_mentions
0,95051,Healthcare,16500.0,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid and gas chromatography systems and components; liquid and gas chromatography mass spectrometry systems; inductively coupled plasma mass and optical emission spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate readers; laboratory software, information management, and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps; and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, and gene expression profiling, as well as sequencing target enrichment, genetic data management, and interpretation support software; and equipment to produce synthesized oligonucleotide. It also offers immunohistochemistry, in situ hybridization, and hematoxylin and eosin staining and special staining; instruments, consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. It has collaboration agreement with SGS AXYS. The company was incorporated in 1999 and is headquartered in Santa Clara, California.",Santa Clara,800 227 9770,CA,United States,[],http://www.agilent.com,1.0,5301 Stevens Creek Boulevard,866 497 1134,Diagnostics & Research,0.26612,0.15902,0.53498,1376999936.0,0.232,0.21350999,1548000000.0,135.0,buy,2837000000.0,1088125056.0,150.0,159.23,1.188,1.999,0.078200005,17.0,148.94,64.927,0.19315,160.0,1380000000.0,3123000064.0,5816999936.0,4.548,USD,18.979,1.396,1.9,NYQ,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",America/New_York,EDT,0.0,-14400000,EQUITY,A,finmb_154924,us_market,,8.606,,32.339,0.62188494,,4.61,,303443008.0,,,,15.854,3344717.0,0.011,,1604102400.0,0.90327,925000000.0,2.99,,0.3189956,10.043522,0.00281,1667174400.0,,1619740800.0,1.83,1625011200.0,302496482.0,0.993006,50060263424.0,2.0,,,,,,,1.139,8.3062105,1627603200.0,3.33,,34.540127,,0.011,2456982.0,,,,158.15,158.4,135.20612,0.0047296872,0.2502,,159.27,,1428714.0,158.15,151.08058,0.748,158.4,,1428714.0,,,0.78,1625184000.0,,,157.39,USD,53.25418,1722840.0,,,,48317227008.0,,,1722760.0,157.39,159.64,900.0,1722840.0,159.27,,0.81,94.53,159.06,0.0,0.0049,900.0,159.27,159.23,https://logo.clearbit.com/agilent.com,A,-1.1110023498535155,,,,,,80397
1,76155,Industrials,117400.0,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2020, it operated a mainline fleet of 855 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas.",Fort Worth,817 963 1234,TX,United States,[],http://www.aa.com,1.0,1 Skyview Drive,,Airlines,-0.40993,-0.31082,-0.2489,-1823000064.0,3.61,-0.52783,-7660000256.0,5.0,hold,-5536000000.0,-2783249920.0,20.0,19.84,,1.052,-0.08998,17.0,18.85,,,29.0,17949999104.0,48297000960.0,18685999104.0,27.724,USD,31.674,0.892,3.4,NMS,"American Airlines Group, Inc.",American Airlines Group Inc.,America/New_York,EDT,False,-14400000,EQUITY,AAL,finmb_168569,us_market,,2.311,,-5.639,0.61885893,,-0.07,,647457984.0,,,,-11.842,83947070.0,0.1297,,1609372800.0,0.52353,-5808000000.0,-9.845,,0.3189956,,0.009980001,1672444800.0,,1625011200.0,2.59,1625011200.0,642368812.0,1.785906,43192561664.0,2.0,,,,,,,,0.68744344,1627603200.0,0.05,,-283.42856,,0.1455,89581312.0,,,,20.43,20.3681,21.508705,0.0,0.0,,20.55,,33672585.0,20.43,20.815882,0.0,20.3681,,33672585.0,,,,1580774400.0,,,19.755,USD,,30877503.0,,,,12845566976.0,,,31594800.0,19.755,19.84,3100.0,30877503.0,26.09,,,10.63,19.8,False,,1400.0,20.55,19.84,https://logo.clearbit.com/aa.com,AAL,0.0,,,,,,46
2,27604,Consumer Cyclical,40000.0,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of January 2, 2021, it operated 4,806 stores and 170 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,277 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",Raleigh,540 362 4911,NC,United States,[],http://www.advanceautoparts.com,1.0,2635 East Millbrook Road,,Specialty Retail,0.11545999,0.059169997,0.44679,1288711936.0,0.234,0.09229,1239875968.0,136.0,buy,4484775000.0,974514368.0,226.5,206.43,3.46,1.317,0.05175,16.0,218.69,99.793,0.18054001,240.0,880233024.0,3494320128.0,10738808832.0,13.563,USD,158.215,0.352,2.2,NYQ,Advance Auto Parts Inc Advance ,"Advance Auto Parts, Inc.",America/New_York,EDT,False,-14400000,EQUITY,AAP,finmb_24333,us_market,,1.491,,12.914,0.29999995,,12.22,,65438900.0,,,,53.954,3425754.0,0.052399997,,1609545600.0,1.05073,635363008.0,9.309,,0.3189956,3.826037,0.00421,1672617600.0,,1619222400.0,6.3,1625011200.0,64647062.0,1.371705,16011160576.0,2.0,,,,,,,3.266,1.257919,1627603200.0,1.55,,16.892797,,0.0589,3344843.0,,,,209.3,209.65,189.94604,0.004777831,0.1073,,209.785,,513171.0,209.3,209.58705,1.0,209.65,,513171.0,,,4.0,1623888000.0,,,206.36,USD,22.175314,455454.0,,,,13508551680.0,,,733826.0,206.36,206.63,800.0,455454.0,217.69,,0.28,142.46,206.38,False,0.0194,800.0,209.785,206.43,https://logo.clearbit.com/advanceautoparts.com,AAP,-0.0509979248046875,,,,,,385
3,95014,Technology,147000.0,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California.",Cupertino,408-996-1010,CA,United States,[],http://www.apple.com,1.0,One Apple Park Way,,Consumer Electronics,0.31955,0.25004,0.41005,104414003200.0,0.364,0.28788,110934999040.0,125.0,buy,104956000000.0,80625876992.0,160.0,149.1,1.0,1.062,0.19302,39.0,159.34,210.782,1.27125,185.0,61696000000.0,135491002368.0,347155005440.0,3.732,USD,20.61,0.887,2.0,NMS,Apple Inc.,Apple Inc.,America/New_York,EDT,False,-14400000,EQUITY,AAPL,finmb_24937,us_market,,7.312,,22.882,0.2991296,,5.34,,16530199552.0,,,,3.882,93114834.0,0.0056,,1601078400.0,0.58875,86801997824.0,5.108,,0.3189956,38.40804,0.00068999996,1664150400.0,,1624665600.0,1.03,1625011200.0,16513139929.0,1.202797,2538442850304.0,2.0,,,,,,,0.932,7.099575,1627603200.0,1.53,,27.921349,,0.0056,90213531.0,,,,148.89,148.97,132.27806,0.005608167,0.16309999,,149.4444,,56719685.0,148.89,144.37,0.835,148.97,,56719685.0,,,0.88,1628208000.0,,,148.27,USD,29.189508,59375009.0,,,,2464652984320.0,,,77399300.0,148.27,148.91,1100.0,59375009.0,150.0,,1.29,103.1,148.93,False,0.0058999998,1200.0,149.4444,149.1,https://logo.clearbit.com/apple.com,AAPL,-1.6332519531249998,,,,,,379
4,60064-6400,Healthcare,48000.0,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal BehÃ§et's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), mantle cell lymphoma, waldenstrÃ¶m's macroglobulinemia, marginal zone lymphoma, and chronic graft versus host disease; VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; AndroGel for males diagnosed with symptomatic low testosterone; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production. The company was incorporated in 2012 and is based in North Chicago, Illinois.",North Chicago,847 932 7900,IL,United States,[],http://www.abbvie.com,1.0,1 North Waukegan Road,,Drug Manufacturers—General,0.51499003,0.12401,0.68121004,20451000320.0,0.339,0.35173,27669999616.0,105.0,buy,31747000000.0,18179999744.0,126.5,116.48,,0.906,0.0794,24.0,124.08,652.342,0.48855,144.0,8600000512.0,82156003328.0,53729001472.0,4.867,USD,30.364,0.645,2.0,NYQ,AbbVie Inc.,AbbVie Inc.,America/New_York,EDT,False,-14400000,EQUITY,ABBV,finmb_141885706,us_market,,5.201,,10.098,0.20020759,,13.97,,1767180032.0,,,,7.113,14450001.0,0.0082,,1609372800.0,0.68966,6597000192.0,3.708,,0.3189956,16.37565,0.00122,1672444800.0,,1625011200.0,2.54,1625011200.0,1741745876.0,0.789133,279421616128.0,2.0,,,,,,,,3.8310993,1627603200.0,2.04,,8.337867,,0.0082,13769117.0,,,,115.64,115.82,111.283455,0.043929435,1.3405,,116.76,,5310800.0,115.64,115.929115,5.08,115.82,,5310800.0,,,5.2,1626220800.0,,,115.7,USD,31.413162,4362461.0,,,,205841137664.0,,,6138792.0,115.7,116.46,1100.0,4362461.0,119.15,,4.22,79.11,116.31,False,0.045,800.0,116.76,116.48,https://logo.clearbit.com/abbvie.com,ABBV,-2.6990005493164064,,,,,,5
5,19087-5594,Healthcare,41000.0,"AmerisourceBergen Corporation sources and distributes pharmaceutical products in the United States and internationally. Its Pharmaceutical Distribution segment distributes brand-name and generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, outsourced compounded sterile preparations, and related services to various healthcare providers, including acute care hospitals and health systems, independent and chain retail pharmacies, mail order pharmacies, medical clinics, long-term care and other alternate site pharmacies, and other customers. It also provides pharmacy management, staffing, and other consulting services; supply management software to retail and institutional healthcare providers; and packaging solutions to various institutional and retail healthcare providers. In addition, this segment distributes plasma and other blood products, injectable pharmaceuticals, vaccines, and other specialty products; provides other services primarily to physicians who specialize in various disease states, primarily oncology, as well as to other healthcare providers, including hospitals and dialysis clinics; and offers data analytics, outcomes research, and additional services for biotechnology and pharmaceutical manufacturers. The company's Other segment provides integrated manufacturer services, such as clinical trial support, product post-approval, and commercialization support; offers specialty transportation and logistics services for the biopharmaceutical industry; and sells pharmaceuticals, vaccines, parasiticides, diagnostics, micro feed ingredients, and various other products to customers in both the companion animal and production animal markets, as well as provides demand-creating sales force services to manufacturers. AmerisourceBergen Corporation was founded in 1985 and is headquartered in Chesterbrook, Pennsylvania.",Chesterbrook,610 727 7000,PA,United States,[],http://www.amerisourcebergen.com,1.0,1300 Morris Drive,800 640 5221,Medical Distribution,0.015470001,-0.01832,0.0304,2956001024.0,0.177,0.01334,3160153088.0,114.0,buy,5188229000.0,2430685184.0,130.0,119.57,-0.007,0.941,0.03522,13.0,132.23,2054.661,-1.7075,156.0,2553217024.0,8392078848.0,204321193984.0,12.288,USD,996.876,0.518,2.2,NYQ,AmerisourceBergen Corporation,AmerisourceBergen Corporation,America/New_York,EDT,False,-14400000,EQUITY,ABC,finmb_24809,us_market,,0.152,,9.827,0.1607039,,10.5,,207787008.0,,,,0.183,2065502.0,0.0099,,1601424000.0,0.67974997,-3743837952.0,-18.266,,0.3189956,653.388,0.28533,1664496000.0,,1625011200.0,2.45,1625011200.0,148432726.0,0.540613,31054446592.0,2.0,,,,,,,0.009,0.121598214,1627603200.0,1.04,,11.387619,,0.0137,2743916.0,,,,119.6,119.75,115.221436,0.014548495,,,120.16,,1168042.0,119.6,118.01,1.74,119.75,,1168042.0,,,1.76,1628812800.0,,,118.29,USD,,854922.0,,,,24845092864.0,,,973874.0,118.29,121.0,800.0,854922.0,128.87,,1.73,92.0,115.57,False,0.0147,900.0,120.16,119.57,https://logo.clearbit.com/amerisourcebergen.com,ABC,-0.4850006103515625,,,,,,27
6,01923,Healthcare,1725.0,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5, a percutaneous micro heart pump with integrated motor and sensors; and Impella CP, a device for use by interventional cardiologists to support patients in the cath lab, as well as by cardiac surgeons in the heart surgery suite. It also provides Impella 5.0, Impella LD, and Impella 5.5, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; Impella Connect, a cloud-based technology that enables secure and remote viewing of the Automated Impella Controller for physicians and hospital staffs; and OXY-1 System, a portable external respiratory assistance device. In addition, the company is developing Impella ECP, a pump for blood flow of greater than three liters per minute; Impella XR Sheath, a sheath that expands and recoils allowing small bore access and closure with Impella heart pumps; and Impella BTR, a percutaneous micro heart pump with integrated motors and sensors. Abiomed, Inc. sells its products through direct sales and clinical support personnel in the United States, Japan, Europe, Canada, Latin America, the Asia-Pacific, and the Middle East. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.",Danvers,978 646 1400,MA,United States,[],http://www.abiomed.com,1.0,22 Cherry Hill Drive,978 777 8411,Medical Devices,0.30991,0.16510001,0.81704,298177984.0,0.532,0.28342,289846016.0,245.0,buy,685615000.0,180856000.0,390.0,321.65,,6.452,0.12236,6.0,371.67,0.433,0.12818,425.0,523031008.0,5658000.0,935257024.0,11.526,USD,20.685,5.407,2.3,NMS,"ABIOMED, Inc.","Abiomed, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ABMD,finmb_247589,us_market,,15.054,,48.575,0.04076886,,5.23,,45380200.0,,,,28.814,751053.0,0.0166,,1617148800.0,0.96205,154412000.0,3.382,,0.3189956,11.162976,0.02041,1680220800.0,,1625011200.0,4.23,1625011200.0,44445854.0,1.302313,14079178752.0,2.0,,,,,,,,15.606984,1627603200.0,7.16,,61.500954,,0.0189,857456.0,,,,322.17,320.9,314.03186,,0.0,,324.92,,271728.0,322.17,323.82736,,320.9,,271728.0,,,,,,,319.42,USD,95.106445,86436.0,,,,14596541440.0,,,238504.0,319.42,322.92,900.0,86436.0,387.4,,,242.73,309.48,False,,1000.0,324.92,321.65,https://logo.clearbit.com/abiomed.com,ABMD,3.815003967285156,,,,,,0
7,60064-6400,Healthcare,109000.0,"Abbott Laboratories discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, MÃ©niÃ¨re's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. It has collaboration agreement with Cereno Scientific AB (publ). The company was founded in 1888 and is based in North Chicago, Illinois.",North Chicago,224 667 6100,IL,United States,[],http://www.abbott.com,1.0,100 Abbott Park Road,,Medical Devices,0.28964,0.15847999,0.57028,10629000192.0,0.395,0.20309,11653000192.0,109.0,buy,19611000000.0,7580125184.0,125.0,123.06,1.2,1.794,0.07191,20.0,125.95,54.368,0.19658001,158.0,8944000000.0,18500999168.0,40233000960.0,5.045,USD,22.647,1.194,1.8,NYQ,Abbott Laboratories,Abbott Laboratories,America/New_York,EDT,False,-14400000,EQUITY,ABT,finmb_247483,us_market,,5.666,,19.561,0.21944201,,4.64,,1772819968.0,,,,19.066,11941015.0,0.0067000003,,1609372800.0,0.76168,6343000064.0,3.55,,0.3189956,6.4544215,0.0073100002,1672444800.0,,1625011200.0,2.49,1625011200.0,1759361665.0,0.646046,227948904448.0,2.0,,,,,,,1.214,5.4224944,1627603200.0,2.12,,26.521551,,0.0069,13550142.0,,,,122.81,122.72,118.690865,0.013923948,0.45630002,,123.226,,3665228.0,122.81,119.40706,1.71,122.72,,3665228.0,,,1.8,1626220800.0,,,122.34,USD,34.664787,3356132.0,,,,218163216384.0,,,6061068.0,122.34,123.28,1400.0,3356132.0,128.54,,1.73,99.75,123.0,False,0.0147,1800.0,123.226,123.06,https://logo.clearbit.com/abbott.com,ABT,4.675997161865234,Abbott Park,,,,,14
8,2,Technology,506000.0,"Accenture plc, a professional services company, provides strategy and consulting, interactive, and technology and operations services worldwide. The company also provides outsourcing services. It serves communications, media, high tech, software, and platform companies; banking, capital market, and insurance industries; and consumer goods, retail, travel services, industrial, and life science industries, as well as clients in health, public service, chemicals and natural resources, energy, and utilities sectors. Accenture plc has alliance relationships with Adobe, Alibaba, Amazon Web Services, Blue Yonder, Cisco, Dell, Google, HPE, IBM RedHat, Microsoft, Oracle, Pegasystems, Salesforce, SAP, ServiceNow, VMWare, Workday, Massachusetts Institute of Technology, Institut Polytechnique de Paris, CNH Industrial, and Reactive Technologies. The company was incorporated in 2009 and is based in Dublin, Ireland.",Dublin,353 1 646 2000,,Ireland,[],http://www.accenture.com,1.0,1 Grand Canal Square,353 1 646 2020,Information Technology Services,0.16749,0.12051,0.31989,9694850048.0,0.207,0.15032,8031220224.0,290.0,buy,13976158000.0,8071195136.0,325.0,323.45,0.262,1.416,0.116730005,24.0,323.22,17.331,0.32209998,342.0,10013812736.0,3447866112.0,47949377536.0,15.791,USD,75.472,1.305,2.1,NYQ,Accenture plc,Accenture plc,America/New_York,EDT,False,-14400000,EQUITY,ACN,finmb_972190,us_market,,4.152,,24.79,0.38320005,,9.85,,634137024.0,,,,30.488,4611520.0,0.0073,,1598832000.0,0.72915,5778489856.0,8.949,,0.3189956,10.609092,0.00127,1661904000.0,,1622419200.0,2.53,1625011200.0,633217136.0,1.107584,199096664064.0,2.0,,,,,,,0.262,4.2776704,1627603200.0,2.94,,32.837563,,0.0073,4559834.0,661662016.0,,,321.76,322.19,283.29483,0.010939831,0.38439998,,324.04,,1384257.0,321.76,312.37442,3.52,322.19,,1384257.0,,,3.52,1626220800.0,,,321.58,USD,36.143703,958996.0,,,,205111623680.0,,,1886947.0,321.58,323.21,1100.0,958996.0,324.04,,1.59,210.42,323.17,False,0.0109,800.0,324.04,323.45,https://logo.clearbit.com/accenture.com,ACN,0.3869979858398437,Grand Canal Harbour,,,,,3
9,95110-2704,Technology,22516.0,"Adobe Inc. operates as a diversified software company worldwide. Its Digital Media segment provides tools and solutions that enable individuals, teams, and enterprises to create, publish, promote, and monetize their digital content. Its flagship product is Creative Cloud, a subscription service that allows customer to download and access the latest versions of its creative products. This segment serves content creators, experience designers, app developers, enthusiasts, students, social media users, and creative professionals; and marketing departments and agencies, companies, and publishers. The company's Digital Experience segment offers products, services, and solutions for creating, managing, executing, measuring, monetizing, and optimizing customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, marketing executives, information management and technology executives, product development executives, and sales and support executives. Its Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as publishing needs of technical and business, and original equipment manufacturers (OEMs) printing businesses. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and OEMs. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. The company was founded in 1982 and is headquartered in San Jose, California.",San Jose,408 536 6000,CA,United States,[],http://www.adobe.com,1.0,345 Park Avenue,408 537 6000,Software—Infrastructure,0.39815,0.38794,0.87865996,6977999872.0,0.226,0.3575,5728999936.0,550.0,buy,11146000000.0,5496374784.0,625.0,637.31,0.022,1.315,0.13627,24.0,618.99,33.88,0.45138,700.0,5768000000.0,4693000192.0,14389000192.0,12.107,USD,30.027,1.179,1.7,NMS,Adobe Inc.,Adobe Inc.,America/New_York,EDT,False,-14400000,EQUITY,ADBE,finmb_24321,us_market,,21.026,,52.808,0.4047345,,14.03,,476400000.0,,,,29.04,4778345.0,0.01,,1606435200.0,0.85113,5582000128.0,11.539,,0.3189956,21.945936,0.0031,1669507200.0,,1622764800.0,2.95,1625011200.0,474932688.0,0.964497,302539472896.0,2.0,,,,,,,0.015,21.100458,1627603200.0,2.62,,45.424805,,0.0101,4535876.0,,,,634.35,634.49,520.4151,,0.0,,638.426,,1249128.0,634.35,611.1323,,634.49,,1249128.0,,,,1111622400.0,,,632.35,USD,55.230957,932829.0,,,,303614492672.0,,,1890222.0,632.35,637.5,900.0,932829.0,638.426,,,420.78,636.25,False,,900.0,638.426,637.31,https://logo.clearbit.com/adobe.com,ADBE,-39.659994506835936,,,,,,11
