,Symbol,Market Cap,Industry,pl5
8,AATC,42718507.0,Industrial Machinery/Components,0.04899992942810059
15,ABIO,43374530.0,Biotechnology: In Vitro & In Vivo Diagnostic Substances,-0.04000003337860107
34,ACER,35918712.0,Biotechnology: Biological Products (No Diagnostic Substances),-0.0039999961853027345
54,ACOR,49502463.0,Biotechnology: Biological Products (No Diagnostic Substances),0.0
66,ACXP,47965046.0,Biotechnology: Pharmaceutical Preparations,0.0
90,ADTX,32646501.0,Specialty Chemicals,0.015000009536743164
101,AEHL,16131060.0,Building Products,0.0
111,AEY,30652861.0,Recreational Products/Toys,0.1659999132156372
146,AGRI,34912163.0,,0.0
152,AHPI,29645991.0,Industrial Specialties,-0.01100001335144043
154,AIHS,23188296.0,Finance: Consumer Services,0.0
184,ALIM,32197409.0,Biotechnology: Pharmaceutical Preparations,-0.2239999771118164
185,ALJJ,46553153.0,Business Services,0.012000000476837159
229,AMPG,31636736.0,Industrial Machinery/Components,0.023000001907348633
237,AMST,38752087.0,Computer Software: Prepackaged Software,0.018899893760681154
257,ANPC,38308651.0,Medical Specialities,0.0
259,ANTE,43668105.0,Advertising,0.0
268,APDN,39507250.0,Biotechnology: In Vitro & In Vivo Diagnostic Substances,-0.19800000190734862
277,APOP,23857881.0,Medical/Dental Instruments,0.0
290,APWC,41182614.0,Telecommunications Equipment,0.0
320,ARTL,20014033.0,Biotechnology: Pharmaceutical Preparations,0.02699998617172241
323,ARTW,15232292.0,Industrial Machinery/Components,0.006999993324279785
347,ASRT,40925628.0,Biotechnology: Pharmaceutical Preparations,0.02899999618530273
350,ASTC,49734929.0,Aerospace,0.0
368,ATIF,32614548.0,Professional Services,0.0
390,ATXI,26294467.0,Specialty Chemicals,-0.1810000419616699
403,AUTO,35684558.0,Business Services,0.0
404,AUUD,31937098.0,Computer Software: Prepackaged Software,-0.07399997711181641
444,AZRX,35276716.0,Biotechnology: Pharmaceutical Preparations,
507,BHAT,19468177.0,Recreational Products/Toys,0.0
515,BHTG,40622802.0,Industrial Machinery/Components,0.05796998739242554
520,BIMI,16862391.0,Medical/Nursing Services,-0.19900001287460325
535,BKYI,23945194.0,Diversified Manufacture,0.041999983787536624
538,BLCM,25277387.0,Biotechnology: Pharmaceutical Preparations,0.024000000953674317
546,BLIN,34623637.0,EDP Services,0.0
554,BLPH,37055071.0,Biotechnology: Pharmaceutical Preparations,-0.12199997901916504
574,BNSO,32245681.0,Industrial Machinery/Components,0.0
575,BNTC,31665299.0,Biotechnology: Pharmaceutical Preparations,0.0
583,BOSC,15976600.0,Computer Communications Equipment,0.0
594,BPTH,37097674.0,Biotechnology: Pharmaceutical Preparations,0.0
632,BSQR,47364047.0,Computer Software: Prepackaged Software,0.031000006198883056
639,BTB,7078292.0,,0.0
641,BTCS,44813347.0,Investment Managers,0.005500000715255737
651,BVXV,33107255.0,Biotechnology: Biological Products (No Diagnostic Substances),0.0
663,BXRX,48886416.0,Biotechnology: Pharmaceutical Preparations,-0.0419999897480011
756,CETX,24730811.0,EDP Services,0.0
786,CHCI,40351285.0,Building operators,0.03499999046325684
790,CHEK,43869522.0,Medical Electronics,0.0
827,CJJD,27138664.0,Specialty Chemicals,0.0
842,CLEU,35391732.0,Other Consumer Services,0.0
861,CLRO,45632990.0,Radio And Television Broadcasting And Communications Equipment,0.0020000457763671878
868,CLWT,15124072.0,Industrial Machinery/Components,0.0
892,CNET,46271674.0,Advertising,0.0
894,CNFR,29912212.0,Property-Casualty Insurers,-0.18400001525878906
896,CNNB,44004375.0,Commercial Banks,0.0904998779296875
900,CNSP,41163642.0,Biotechnology: Pharmaceutical Preparations,0.009999990463256836
949,CPIX,41737275.0,Biotechnology: Pharmaceutical Preparations,0.05
967,CREG,38775796.0,,0.0
970,CREX,15132978.0,EDP Services,0.039999997615814215
972,CRKN,47367835.0,,0.0
982,CRTD,40189484.0,Publishing,0.1906998634338379
1002,CSPI,39330657.0,EDP Services,0.23199996948242185
1019,CTIB,11243693.0,Diversified Commercial Services,0.050999993085861214
1032,CUBA,33202726.0,Investment Managers,0.0
1034,CUEN,42154803.0,Computer Software: Prepackaged Software,0.05600004196166992
1051,CVV,28073980.0,Industrial Machinery/Components,-0.03499999046325684
1056,CXDC,29404757.0,Plastic Products,-0.0032100021839141842
1059,CYAN,17698932.0,Farming/Seeds/Milling,-0.01700000762939453
1065,CYRN,41594548.0,Computer Software: Prepackaged Software,0.03600001335144043
1068,CYTH,41526209.0,Biotechnology: Pharmaceutical Preparations,3.92400016784668
1071,CYTO,14391709.0,Biotechnology: Pharmaceutical Preparations,0.0
1080,DALN,37199806.0,Newspapers/Magazines,0.0
1088,DBGI,31316165.0,Apparel,0.0
1183,DRMA,35240928.0,Biotechnology: Pharmaceutical Preparations,
1205,DTSS,47582974.0,Retail: Computer Software & Peripheral Equipment,0.0
1206,DTST,32648718.0,EDP Services,0.0
1213,DUOT,21843781.0,Computer Software: Prepackaged Software,0.05789999961853027
1224,DYNT,22747697.0,Medical/Dental Instruments,-0.05399996042251587
1230,EAST,37821919.0,Beverages (Production/Distribution),-0.020600032806396485
1249,EDTK,15120000.0,Other Consumer Services,0.0
1255,EFOI,16018613.0,Building Products,-0.029999995231628416
1277,ELSE,16963683.0,Industrial Machinery/Components,0.0
1278,ELTK,25055133.0,Electrical Products,0.0
1330,ESBK,45764044.0,Major Banks,0.0
1365,EVK,42359969.0,Apparel,0.0
1371,EVOK,37305287.0,Biotechnology: Pharmaceutical Preparations,0.03600001335144043
1372,EVOL,25985362.0,EDP Services,0.3179999828338623
1387,EYEG,23282527.0,Biotechnology: In Vitro & In Vivo Diagnostic Substances,0.08599998950958253
1393,EZGO,40475858.0,Motor Vehicles,0.0
1396,FAMI,4483118.0,Packaged Foods,0.0
1413,FBRX,47602700.0,Biotechnology: Pharmaceutical Preparations,0.10499992370605468
